x,open,high,low,close
2014-11-11T00:00:00.000,5525,5587.5,5512.5,5587.5
2014-11-12T00:00:00.000,5562.5,5600,5550,5587.5
2014-11-13T00:00:00.000,5587.5,5637.5,5525,5625
2014-11-14T00:00:00.000,5625,5637.5,5500,5512.5
2014-11-18T00:00:00.000,5537.5,5550,5487.5,5500
2014-11-19T00:00:00.000,5525,5587.5,5500,5575
2014-11-20T00:00:00.000,5562.5,5637.5,5550,5612.5
2014-11-21T00:00:00.000,5550,5562.5,5525,5537.5
2014-11-24T00:00:00.000,5587.5,5687.5,5575,5687.5
2014-11-25T00:00:00.000,5700,5725,5662.5,5725
2014-11-26T00:00:00.000,5712.5,5712.5,5600,5700
2014-11-28T00:00:00.000,5700,5712.5,5600,5625
2014-12-01T00:00:00.000,5625,5700,5612.5,5700
2014-12-02T00:00:00.000,5700,5725,5575,5700
2014-12-03T00:00:00.000,5725,5725,5675,5700
2014-12-04T00:00:00.000,5725,5912.5,5700,5800
2014-12-05T00:00:00.000,5750,5912.5,5750,5875
2014-12-08T00:00:00.000,5925,5937.5,5775,5800
2014-12-09T00:00:00.000,5787.5,5925,5712.5,5925
2014-12-10T00:00:00.000,5925,5925,5862.5,5900
2014-12-11T00:00:00.000,5900,5912.5,5750,5750
2014-12-12T00:00:00.000,5825,5900,5737.5,5850
2014-12-15T00:00:00.000,5750,5900,5750,5900
2014-12-16T00:00:00.000,5825,5900,5725,5750
2014-12-17T00:00:00.000,5850,5912.5,5787.5,5887.5
2014-12-18T00:00:00.000,5912.5,6100,5900,6000
2014-12-19T00:00:00.000,6075,6300,6075,6162.5
2014-12-22T00:00:00.000,6162.5,6250,6137.5,6137.5
2014-12-23T00:00:00.000,6187.5,6200,6112.5,6137.5
2014-12-24T00:00:00.000,6150,6250,6150,6200
2014-12-29T00:00:00.000,6200,6275,6200,6250
2014-12-30T00:00:00.000,6262.5,6700,6237.5,6550
2015-01-02T00:00:00.000,6550,6687.5,6550,6575
2015-01-05T00:00:00.000,6550,6600,6300,6575
2015-01-06T00:00:00.000,6450,6462.5,6375,6425
2015-01-07T00:00:00.000,6437.5,6525,6437.5,6500
2015-01-08T00:00:00.000,6450,6550,6450,6500
2015-01-09T00:00:00.000,6462.5,6512.5,6462.5,6475
2015-01-12T00:00:00.000,6525,6537.5,6225,6250
